City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,75.6,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
8,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
15,Yulara,AU,86.22,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
22,Alofi,NU,79.81,light rain,-19.0595,-169.9187,Taloa Heights
32,Samarai,PG,84.85,overcast clouds,-10.6167,150.6667,Nuli Sapi
33,Hithadhoo,MV,82.47,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
41,Butaritari,KI,82.98,broken clouds,3.0707,172.7902,Isles Sunset Lodge
45,Popondetta,PG,86.34,overcast clouds,-8.7537,148.2534,Timos Transit House
51,Atuona,PF,78.58,few clouds,-9.8,-139.0333,Villa Enata
57,Lubao,PH,85.14,broken clouds,14.9167,120.55,Hacienda Gracia
65,Rikitea,PF,78.58,clear sky,-23.1203,-134.9692,People ThankYou
73,Faanui,PF,80.6,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
74,Grand Gaube,MU,82.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
77,Weligama,LK,85.77,broken clouds,5.9667,80.4167,Weligama Bay Resort
94,Padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
108,Itarema,BR,77.09,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
115,Alice Springs,AU,81.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
116,Kloulklubed,PW,84.7,clear sky,7.0419,134.2556,Storyboard Beach Resort
118,Luganville,VU,80.28,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
123,Gorontalo,ID,84.65,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
126,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
128,Tutoia,BR,76.96,light rain,-2.7619,-42.2744,Pousada Guará's
130,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
131,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
143,Gladstone,AU,84.13,scattered clouds,-23.85,151.25,Highpoint International Hotel
144,Sur,OM,77.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
145,Saint-Philippe,RE,87.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
147,Ratnagiri,IN,78.71,clear sky,16.9833,73.3,Hotel Landmark
149,Daru,PG,87.67,overcast clouds,-9.0763,143.2092,Daru Lodge
154,Gigmoto,PH,79.27,light rain,13.7796,124.39,Cj's Travellers Inn
168,Phan Thiet,VN,89.15,overcast clouds,10.9333,108.1,Hotel Saigon-PT
170,Tonj,SS,75.38,broken clouds,7.2737,28.6822,Lakan Hotel
174,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
179,Esperance,AU,83.07,clear sky,-33.8667,121.9,Hospitality Esperance
198,Kavaratti,IN,78.04,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
200,Axim,GH,77.47,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
203,Puerto Escondido,MX,75.54,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
223,Viraganur,IN,83.95,broken clouds,11.4833,78.7333,Hotel Srinivasa & Gomathi
224,Kahului,US,75.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
225,Bambous Virieux,MU,82.65,light rain,-20.3428,57.7575,Casa Tia Villa
227,Harper,LR,77.2,light rain,4.375,-7.7169,Screensaver
239,Kribi,CM,76.39,light rain,2.95,9.9167,La Grace Hôtel
241,Port Lincoln,AU,75.11,clear sky,-34.7333,135.8667,Port Lincoln Hotel
246,Omboue,GA,76.17,broken clouds,-1.5746,9.2618,Hotel Olako
247,Honiara,SB,85.1,light rain,-9.4333,159.95,Heritage Park Hotel
255,Bitung,ID,86.85,overcast clouds,1.4451,125.1824,K2 Lembeh
270,Alyangula,AU,75.15,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
273,Sao Jose Da Coroa Grande,BR,78.06,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
278,Cabatuan,PH,82.56,overcast clouds,10.8794,122.486,MVC Transient Room
279,Mogadishu,SO,80.17,scattered clouds,2.0371,45.3438,Hotel Juba
282,Dingle,PH,82.29,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
286,Manokwari,ID,84.31,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
