City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coquimbo,CL,2022-02-05 06:09:06,-29.9533,-71.3436,66.15,80,0,3.78,clear sky
1,Pevek,RU,2022-02-05 06:00:38,69.7008,170.3133,-26.95,99,83,5.97,broken clouds
2,Arraial Do Cabo,BR,2022-02-05 06:03:27,-22.9661,-42.0278,75.6,89,98,21.83,overcast clouds
3,Mataura,NZ,2022-02-05 06:05:13,-46.1927,168.8643,59.49,49,15,6.85,few clouds
4,Carnarvon,AU,2022-02-05 06:03:39,-24.8667,113.6333,95.67,42,51,9.8,broken clouds
5,Albany,US,2022-02-05 06:01:06,42.6001,-73.9662,14.95,84,99,3.6,overcast clouds
6,Wamba,NG,2022-02-05 06:09:10,8.9333,8.6,66.13,19,0,3.18,clear sky
7,San Juan,AR,2022-02-05 06:07:26,-31.5375,-68.5364,71.49,47,3,21.61,clear sky
8,Avarua,CK,2022-02-05 06:07:52,-21.2078,-159.775,78.85,83,20,9.22,few clouds
9,Busselton,AU,2022-02-05 06:03:50,-33.65,115.3333,108.05,37,8,9.35,clear sky
10,Olafsvik,IS,2022-02-05 06:09:12,64.8945,-23.7142,28.22,62,100,27.18,light snow
11,Torbay,CA,2022-02-05 06:01:44,47.6666,-52.7314,33.76,97,100,4.61,freezing rain
12,Kapaa,US,2022-02-05 06:03:24,22.0752,-159.319,73.72,74,100,4.61,overcast clouds
13,Qaanaaq,GL,2022-02-05 06:05:50,77.484,-69.3632,0.84,73,100,6.04,overcast clouds
14,Hobart,AU,2022-02-05 06:06:17,-42.8794,147.3294,71.22,56,20,14.97,few clouds
15,Yulara,AU,2022-02-05 06:05:37,-25.2406,130.9889,86.22,16,0,10.4,clear sky
16,Okmulgee,US,2022-02-05 06:09:15,35.6234,-95.9605,19.85,95,5,3.62,clear sky
17,Yellowknife,CA,2022-02-05 06:01:27,62.456,-114.3525,-25.71,83,99,4.0,overcast clouds
18,Korla,CN,2022-02-05 06:09:16,41.7597,86.1469,29.64,35,100,7.87,overcast clouds
19,Bredasdorp,ZA,2022-02-05 06:03:42,-34.5322,20.0403,69.28,67,24,21.21,few clouds
20,Cape Town,ZA,2022-02-05 06:03:46,-33.9258,18.4232,68.11,67,0,3.0,clear sky
21,Ponta Do Sol,PT,2022-02-05 06:09:21,32.6667,-17.1,61.43,67,74,5.28,broken clouds
22,Alofi,NU,2022-02-05 06:09:22,-19.0595,-169.9187,79.81,82,100,22.57,light rain
23,Haileybury,CA,2022-02-05 06:09:23,47.449,-79.6373,-19.48,100,65,3.0,broken clouds
24,Cidreira,BR,2022-02-05 06:09:24,-30.1811,-50.2056,72.32,93,6,3.76,clear sky
25,Jamestown,US,2022-02-05 06:04:37,42.097,-79.2353,18.72,85,100,8.05,overcast clouds
26,Killam,CA,2022-02-05 06:09:25,52.7834,-111.8518,23.09,89,100,7.11,overcast clouds
27,Punta Arenas,CL,2022-02-05 06:03:09,-53.15,-70.9167,44.71,70,0,2.3,clear sky
28,Kidal,ML,2022-02-05 06:09:43,18.4411,1.4078,54.63,24,0,13.49,clear sky
29,Paamiut,GL,2022-02-05 06:09:44,61.994,-49.6678,4.59,86,100,8.12,light snow
30,Upernavik,GL,2022-02-05 06:05:46,72.7868,-56.1549,-0.89,94,100,6.82,overcast clouds
31,Tasiilaq,GL,2022-02-05 06:09:45,65.6145,-37.6368,24.96,68,100,41.23,overcast clouds
32,Samarai,PG,2022-02-05 06:09:46,-10.6167,150.6667,84.85,74,87,10.29,overcast clouds
33,Hithadhoo,MV,2022-02-05 06:03:33,-0.6,73.0833,82.47,74,95,15.5,overcast clouds
